Görüş,Durum
HAYIR BEĞENMEDİM BOZULDU VE TELEFONU KALDIRMIYORLAR,0
1 GÜNDE ELİME ULAŞTI Bİ KAÇ GÜN KULANIDIKTAN SONRA YORUM YAPMAK İSTEDİM.GERÇEKTEN ŞIK BİR TELEFON DAHA ÖNCE LG G5 KULLANIYORDUM MEMNUNUM ÖNERİRİM.,1
Ürün ile şimdilik bir sıkıntı bulunmuyor. Bu fiyata daha iyisi olmaz. Ama satıcının gönderdiği ürünün ambalajı savaştan çıkmış gibi eski çürük ambalajlı ürün göndermiş.,0
Görüntü olarak gayet güzel bir ürün. Ama çaydanlık kısmı tam oturmadığı için iade edeceğim malesef...,0
Arkadaşlar kesinlikle KUMTEL markasını tavsiye etmiyorum. Servis 2 3 haftadan önce gelmiyor kurulum yapmaya. Ben 5 gündür bekliyorum ve gelmeye niyetleri yok arıyorum her defasında yoğunduk gelemedik, unuttuk gibi bir sürü yalan söyleniyor. Bende kendim takmaya karar verdim eğer kurulum için bu kadar bekletiyorlarsa garantisi olsa ne yazar ki? Demek ki ürün GARANTİYE GİTSE DAHA HİÇ GELMEYECEK :)))),0
Plastik yazıyor ama plastik değil sanırım dimi her yer de çelik yazıyor siz de plastik aldım ama şüpheye düştüm,0
Sorunsuz tam zamaninda geldi.fiyat kalite tatminkar,1
1 yönleri: Güzel şık fakat çok hassas kırılacak gibi duruyor,1
Patatesi bilmem ama köfteyi şahane yapıyo 👍,1
eh güzel orta dereceli,1
Arkadaş ürün elime ulaşmadan saçma sapan yorum iatiyorsunu. Ürün yok ortada. Alın size yorum.,0
Ürünü çeyizime aldım, paketi açıp denedim hemen ısındı inşallah iyidir :),1
basit bi urun zaten kutuyu actigimda tekeri yerinden cikmisti hic tavsiye etmem,0
Ürün elime gayet hızlı ulaştı. Fiyatına göre kullanışlı iyi bir ürün,1
Kesilkle berbat bşr tablet oyun 100 MbLİK OYUN açtım ve tabletin ekranı sıcaklığından yanıyordu resmen.. Kesinlikle kötü, para ekleyip başka bir model alın elinize kalır bu tablet !!,0
Çok çok güzel bayıldım,1
Fatura yok paketleme iyi değil,0
Güzel ürün çok memnunum,1
Kesinlikle beğenmedim,0
hiç beğenmedim ilk gömlek hamlesinde yapıştı anlıyacağınız gömlek yandı.bazilariniz derki ayarını yapamamış sındır ama ilk defa ütü yapmıyorum,,0
Beklediğimden daha sessiz çalışması var onun dışında tecrübe edecek vaktim olmadı,1
urun çok güzel kapalıda plastik yerine metal olsaymış dahada güzel olurmuş...cok beğendim güzel urun,1
ürün gayet güzel, fırçası tam istediğim gibi. bir sıkıntı yokta ürünü ambalajsız olarak göndermeleri oldukça ilginç. siteye olan güvenle ilgili sıkıntı yaratıyor. bu konuyla ilgili biraz daha dikkatli olunması gerekiyor bence.,2
2400 wat çekiş gücü oldukça iyi ,suyu fazla koyunca ağzından dışarı atıyor dıkkat etmek lazım,makıneye göre diğer aksesuarları pek sağlam değil özellikle uzatma hortumu daha ıyı olabilirdir.tavsiye olunur...,1
Umduğum gibi çıkmadı,reistansı kısa sürede bozuldu.,0
Ürünü alalı 2 yıl oldu birkaç deneyimden sonra yorum yapayım dedim.Ürün sert hamurlarda zayıf kalıyor clipsli üst kapak çok zayıf ve hemen kırılıyor .Dışı plastik olduğu için görüntüye aldanmayın sağlamlık hissi bende oluşmadı.Az zorlamada sanki bozulakmış gibi ve motordan koku geliyor .kısacası mutfak şefi için zayıf bir ürün zaten diğer hamurlar mikxerlede oluyor.Daha çok verip daha sağlam bir ürün almadığıma üzülmedim değil.,2
HİZLİ KARGO GUVENİLİR SATİCİ TAVSİYE EDERİM,1
Henüz kullanmadım ama paketleme gayet iyiydi. Tatilde eşarplarımı ütülemek için aldım memnun kalacağımı düşünüyorum.,1
Avantajlar : fiyat<br />Dezavantajlar : yok<br />ses kalitesi çok iyi.,2
İyi değil pahalı,0
Ürün dün elime ulaştı, ürünün çekim gücü güzel, el süpürgesi olarak da kullanılabilmesi büyük bir avantaj, kullanırken keyif alacağınız hafif ve ergonomik bir ürün... tavsiye ederim...,1
Bu aletle ilgili iyi bir tarafı var diyemeyeceğim ne yazık ki!1-Aşırı gürültülü eski teknoloji dizel motor gibi...2-Ürünü yapanlar hiç test etmediler galiba Türk milleti nasılsa anlamaz demiş olmalılar ki kapağa uyduruk bir silikon monte etmişler.Hazneye sadece 1/2 çay bardağı sıvı koyduğunuzda bile tezgahınızda batmadık yer kalmıyor.2-çok çabuk ısınıyor.4-Doğrama kabiliyeti rezalet.Neticede beş para etmez bir ürün,nasıl aldanıp ta aldım kendime çok kızıyorum....Bu ürünü beğenen varsa daha önce gerçek bir doğrayıcı kullanmamıştır,,0
Ürün, çalışan bayanlar için çok pratik.,1
leomanya satıcısından aldığım ürünler 10 günde minik bi kolide geldi süreyi gözardı edersek benim hoşlanmadığım durum kolinin içindekilerin eşek kadar kolinin üzerine yapıştırılması işyerine söylediğim için siparişi bu durum rahatsız edici benim açımdan bu konuya satıcıların dikkat etmesi gerekiyor bence.,0
Güzel ilgileniyorlar.,0
Annem çok beğenmedi fırın kısmından memnun değil,2
phone 6 s 32 gb. ürunü beğendim.Tavsiye ederim.,1
ürünün haznesi 800w olanlara kıyasla haliyle küçük.biraz daha teferrruatlı birşey olsun diyorsan işini görmez.,2
Beğenerek aldım ancak yerde durmaması kötü özellik. Bir de kontrol tuşları ve tüm beyni su tankının altında duruyor. Cihaz ayaktayken su doldur boşalt denemeleri yapıyorsanız sakın yerinden kıpırdamasın yoksa su mekanizmadan aşağı dökülüp beyin komut yerine gidiyor En Sevmediğim Yönü bu. Bunu kurnaz mühendisler bilerek yapmış. Suyun buhara dönüştüğü yerin altına bilerek komut mekanizması yapmışlar!,2
Hem fiyat açısından trendyoldan daha uyguna aldım hem de harikalar yaratan bir ürüne sahip oldum,1
0 yönleri: BİRAZ ÇALIŞTIRINCA MOTOR KOKU YAPIYOR,0
18.10.18 tarihinde sipariş verdim. 22.10.18 teslim aldım. Ürün özenle paketlenmiş.,2
İnternet sitenizden Philips televizyon aldım.Böyle bir yanlışlık nasıl yapılır bilmiyorum ama bana ÇİM biçme makinası göndermişsiniz.İlgili arkadaşlara teşekkürler....,0
Fena değil. Fanı çalışmıyor. Yazıldığı gibi değil.,0
bu fıyata bu ürüne değmez. sakın aldanmayın.....buz kırcağı zaman sarsılıyor. sulu gıdalar örn: corba, krema, pankek harçı vs kapağından dışarı sızıyor, her yeri batırıyor kendini batırdığı gıbı tezgahı da berbat ediyor. tek doğrama işini beceriyor ....... foto da guzel gorunuyor ama plastik. Berbat.!!!,0
Ürünü çeyizim için aldım 1 günde elime ulaştı paketlemesi güzel. Denerken kapağı oturmuyormuş gibi oldu ama çevirmek gerekiyor şimdilik bir sorun yok, üretici firmaya teşekkürler.,1
Touchpedi 3 metreden bile çalışmıyor verdiğim paraya yazik oldu. hızlı kargo ve paketlemesi sağlamdı,0
indirimde almıştım, ceyiz olarak, beğendim.,1
Sakın almayın laptoptan daha güzel ses çıkıyor iade etmeye çalışıyorum edilmiyor bunlar resmen kandırıyorlar insanları. Ses ayarı var yazmışlar üründe ses tuşu falan da yok.,0
hepsi burada farki.urun zamaninda teslim...,2
Izgaraları kesinlikle yapışma yapmıyor, kısa sürede ısıtıyor. Çok memnun kaldım.,1
ürün elime kırık şekilde geldi. kargocuya zabıt tuturmadıgım için iade edemedim haliyle. böyle bi kargolama şekli olmaz ince bi sitreş sarılmıs sadece ürünü korıyacak bişey yok. kesinlikle önermiyorum...,0
kullanışlı. annem ve babam için 1'er tane aldım. torunları ile görüntülü konuşma yapıp resimli cuma mesajları gönderebilecekleri, fotoğraf çekebilecekleri, whatsapp'da yazışabilecekleri, candy crush oynayabilecekleri, navigasyon olarak kullanabilecekleri (navigasyon ile ilgili babamın yorumu şöyledir: bazen yanlış yerlere götürüyor yahu, benim hanım bu konuda daha güvenilir) bi telefon. çok fazla program ve oyun yüklemezseniz sorun olmuyor. canım annem sürekli reklamlara tıkladığı için bazen telefon yavaşlıyor, arada bir fabrika ayarlarına geri yüklüyoruz sorun kalmıyor. babam da namaz vakitlerini takip ediyor. çok şey beklemeyin, parasının telefonu.,1
Biraz küçük ama işimizi görüyor, alınabilir,1
Bilgisayar ilk geldiğinde içeriğinde kendi işletim sistemimizi yüklemeye yardımcı olacak bir yapıdaydı ve işletim sistemini ayarlama işlemini çok kalaylaştırmıştı. Bu açıdan takdir edilebilir fakat tüm kurulumları yapıp sistemi hazır hale getirdikten sonra sadece 3 hafta çalışabildi. 3. haftasında bilgisayar tamamen çöp haline geldi. Enerji verdiğimiz halde monitöre hiçbir sinyal gelmiyordu ve artık bilgisayar kullnılamaz durumda. Email hesaplarından da satıcıya ulaşamıyoruz. Ucuz etin yahnisi misali hurdalıkta duruyor şimdi. Bize ders oldu.,0
Hayır. Saglam değildi veya düzgün paketlenmedi.,0
Ürün sağlam, teslimat hızlı,1
ürün anlatıldığı gibi ve paketleme kargo hepsi çok güzeldi. güzel ürün tavsiye edilir.,1
5 yildir kullaniyorum bu aldigim 2 ci supurge makinasi . torbali supurge makinasi kullaniyorum ama arnica bora su filtreli makinanin yerini tutmuyor toz moz birakmiyor cook guzel bu makinayi uretenlere tesekkur ederim elleri dert gormesin....,1
Şekil veremiyorsunuz ama mat görüntüsü var kesinlikle gün icinde hafif bir rüzgarda saçlarınız dağılacaktır,0
Berbat ötesi bir fırın yeni evlendim aldım çok şık duruyordu e marka güzel güvenerek aldım pişman oldum😏 zırt pırt duruyor çok çok geç pişiriyor illALLAH ettik eşimle ben. Şuan bende elden çıkarıyorum bir siteye koydum yerinede TERMİKEL süper ötesi fırını aldı canım annem ve babam ALLAH razı olsun onlardan ve bu fırını yapanlardan. İşte bu dedirtti bize canavar resmen canavar 😍😍😍,0
Şimdi ürünü sipariş ettikten baya uzun bi süre sonra elime ulaştı yaklaşık 8 gün kargo kısmı biraz kötü. Ürüne gelirsek 2+1 speaker ama ana hoparlör yani resmin ortasındaki hoparlör hiç iyi değil özellikle bassı hiç beyenmedim.Sesi çok açınca çok cızırtılı ses çıkıyor ama diğer küçük hoparlörlerden memnunum.Kısacası almanızı pek tavsiye etmem.Bu paraya hiç deymez bunun yerine aynı fiyata 1+1 alın en azından daha iyi perfornmans alırsınız.Saygılar...,0
idare eder,0
Ses kalitesi çok iyi.,2
1 yönleri: Tesekkur,1
Güzel sadece çok fazla ses çıkartıyor,1
tesekur ederim elinize sağlık hızlı kargo ürün güzel ve sessiz çalışıyor,1
Ses kalitesi kötü boğuk bir ses geliyor 30 liraya değer :(,0
fibere geçtikten sonra normal adsl2 ile olmuyor arkadaşlar sürekli takılmalar yaşanıyor. vdsl destekli bir modem almak gerekiyor. bende bunu aldım. artık rahatım kopma falan yaşamıyorum. usb dosya paylaşımı bile var :),2
ürünün kayış kısmı görseldekinden farklı.,2
Ürün elime biraz önce geçti. Açıkcası ilk başta sipariş verirken biraz ikilemde kalmıştım. Ama şuanda iyi bir karar verdiğimi anladım. Sızdırmayla ilgili çok fazla yorum vardı. Bende herhangi bir sızdırma olayı olmadı. Çayı ve suyu gayet sıcak tutuyor,bu yönü gerçekten çok hoşuma gitti. Işıklandırmasıda bence güzel ve şık duruyor. Almayı düşünenlere tavsiye ederim. Fiyatı da normale ve kalitesine göre gayet uygun.,1
ürün on numara güzel.,1
Ses kalitesi iyi ama ürün orjinal değil,0
paketleme ve kargolama iyi. ürüne ekran kartı taktıgımda ekran kartı ve dahili ekran kartı çalıştı ne kadar çok driverlarını indirip kurmayı denesemde olmadı en son ekran kartını çıkarttım ve driverlar kuruldu ekran kartsız takılıyorum çok iyi oldugunu pek söyleyemem ama iş görür,2
Yeterince iyi. Ancak kurulum bilgileri sıfır.,2
Ürün güzel, tavsiye ederim.,1
Ürünü 3gunde geldi beğendim hepsi burda ya teşekkürler samsung anlatmaya gerek yok,1
ısıtmıyor sakın almayın be çok pişman oldum 18000 but aldım Er15 arıza verdi Beko Arçelik Şaşmaz'ın deri yerli olarak,2
ürün az önce elime geçti buradan aldım kargoyu zamanında yolladıkları için teşekkür ediyorum ama ürün hayal kırıklığı çok pişman oldum malzeme kalitesi bana göre iyi değil çekiş gücü süpürdüğünü bile farketmiyorum diyeceğim kadar komşumun 1200w süpürgesi bundan güzel çektiğini söyleyebilirim yorumlara bakarak ürünümün arızalı oldugunu bile düşünüyorum ama yinede tavsiye etmiyorum,0
Cok kullanışlı degil,0
Çok kullanışlı .5 dakikada çay hazır😊,1
Tavuk gibi yolunmak isteyenlerin bir numaralı tercihi. mafetti beni,0
Arkadaslar ben ikincisini aldım ürün gerçekten güzel alacak olana tavsiye ederim yanlız gönderilen kablo biraz daha kaliteli olsa iyi olurdu pek dayanıklı deyil ama cihaz yaklaşık tam olarak 8 saati buluyor dolması ve benim s3 neo Telefonumu 4 defa gibi diyelim çünkü 4 uncusu tam deil sarj ediyor,2
Benim oğlum 6 yasında ben oğlum için almak istiyorum ama bir sorum var cevaplayan biri olursa sevinirim Biz köydeyiz ve oğlum teyzelerine halalarına arkadaşlarına kendi gidiyor orda oyun oynuyor sadece nerde olduğunu öğrenmek için bu bilekliği istiyorum yani oğlumu arayabiliyormuyum bileklik kolunda olduğunda ve nasıl kartmı takılıyor,0
Yaklaşık sekiz ay kullandıktan sonra yazıyorum. Ürün vasat. Çok kötü değil, ama iyinin de az altında. Yenilerde üst kapaktaki oturması gereken yay istifa etti. Kapak oturmuyor, dayanır vaziyette duruyor. Kullanıma engel değil. Idare eder.,2
kalitesiz bir ürün, bekarlar için fiyatına göre uygun....,2
2 gün önce sipariş verdim bu gün elime geçti,Başta hepsi buarada olmak üzere ürünü gönderen FEMAR ELEK.EV ALETLERİ fimasına ve nakliyesinde emeği geçen MNG kargo çalışanlarına yürekten teşekkür ediyorum.siparişim tam,sağlam ve sorunsuz olarak teslim edildi.süpürgeyi hemen açıp denedik, emiş gücü şahane, sesi ise eski süpürgeye oranla bayağı sessiz, toz haznesinin 2,5 lt. olması avantaj kolay kolay dolmuyor,görselliği ise bambaşka yani uzun lafın kısası ben memnun kaldım,alacak olanlara tavsiye ederim,ilerisiniiii yaşayıp kullanıp görecez,EEEE artık ,5 YILDIZ VERMEZSEM HAKSIZLIK OLUR.,1
Parasına göre iyi,2
Ürünü zamanında aldım, ancak Ürün paketleme berbat, ürün mağazada rafta alınıp kargoya verilmiş kırılabilecek ürünlerde daha özenli paketlenmesi gerekir.,2
Aldığım mor şampuanın kapağı kırılmış ve neredeyse yarışı dokulu şekilde gelmiş,0
Ürün çok kaliteli eşim için aldim tavsiye ederim,1
Çabuk bozuldu fazla tozda almıyor aldigim a pismanim.,2
Çocuklar için uygun güzel,2
umduğum gibi çıkmadı radyosu hiç çekmiyo basit radyolar bile bundan güzel çekiyo hayal kırıklığı bu kadarını beklemiyordum bu paraya değmez,0
Ürünü kullandım gayet memnunum,1
Ürün cok kotu.kargo isi bir felaket hic bulasmayin.15 gunde zor geldi.davlumbaz kumandali degil ama icinden kumanda cikti.,0
Schafer kahvecim gelcek A101e kullanan varmı nasıl köpüklü çikariyormu yardımcı olur musunuz,0
Beğenmedim su akıtıyor,0
Ürünün ilk elime geçtiğinde 40 tl olan eski kulaklığımdan çok daha iyi bir ses kalitesi beklemiştim fakat arada bir farkı duyamadım. Ya ben kalitesiz kulaklık taka taka sağır oldum yada gerçekten fiyatına uygun performans göstermiyor bu kulaklık. Ses kalitesi benim için ikinci planda ama bu kadar ödeyince de insan bir beklentiye giriyor. İlk puanımı buradan kırdım. İkinci puanı ise tasarımdan kırıyorum. Kulağa tam oturma hissini alamadım. Sanki düşecek gibi emanet duruyor, fakat konuşuyormuş gibi yapsam da kafamı yan çevirsemde kulaklığı düşüremedim kulağımdan. Bir de telefona type-c dönüştürücü ile bağladığımda ilk seferde çalışmadı bir kaç kez tak çıkar yapınca çalışmaya başladı, anlık kalp krizi geçiriyordum çünkü telefonumda 3.5mm giriş yok. Özetlemek gerekirse 3/5. 160a bunu alacağıma 40 50ye dandik bir tane alsaydım demedim değil.,2
kulaklık sipariş verdikden kısa bir süre sonra elime geçti gönderi çok hızlıydı kulaklığı daha öncede kullandığım için özelliklerini biliyordum ses o kadar kaliteli değil ama bu fiyata çok iyi kaçırılmaması gereken bir fırsat eksi yönlerinden biride sesi dışarı vermesi...,2
0 yönleri: Aynı gün kargoya veriliyor evet ama on gündür hâlâ gelmedi.. bilgilendirme çok eksik. gelmeden iade ettik.,0
kagıt gibi sacı var çok kalitesiz mazleme görüntü amaçlı sadece iş görecek gibi degil,0
Urun cok cabuk bozuluyor tavsiye etmem hatta arzumun ömrü 3 yıl tost makinesi rondo set su ısıtıcı kahvecmakinesi ne aldıysam bozuldu,0
güzel paketleme.üründe hata yok.tavsiye ederim.,1
1 yönleri: şarjı çok iyi deyil 0 yönleri: bazi uygulaması yazı çok güzel görünmüyor,0
0 yönleri: AKAKÇE den aldığım mesajda 146,90 TL Ücretsiz kargo yazıyor Üzerine tıkladığımda 218,00TL Fiyat.,0
Kargo hızlı ürün kaliteli 👍,1
Eğer daha önce kettle kullandıysanız ilk başta biraz yadırgayabilirsiniz. plastik aksamlar kalitesiz gözüküyor çapaklar temizlenmemiş ama onun dışında İşgören bir çaydanlık demlik içinde süzgeç mevcut değil bilginiz olsun.,2
10 dakika çalıştırdık, yorumlarda anlatılandan sonra beklediğim sessizlikte değil. çok iyi toz alıyor. hafif halılara öyle bir yapışıyor ki, hareket ettirmek çok zor, nasıl temizleyeceğiz biz bu hafif halıları?,1
Çok pratik tatil için 👍🏻,1
Bir marketten 2 adet Powerway marka 16gb usb bellek aldım bir tanesinden oldukça memnunum ancak diğeri aldığım günden beri sorunlu. Bilgisayarımın usb girişine takıyorum ses geliyor ancak bilgisayarımda görünmüyor. form sitelerinde bahsedilen yolların hepsini denedim ama çözüm bulamadım. ha neden iade etmedin diye bir soru gelirse alışveriş fişini bulamadım bu sebeple iade edemedim.,0
Ürünün kuvveti az bu sebeple bir şey sıkacaksanız biraz uzun sürebilir çok yavaş iade ettim bu sebeple,0
Hızlı kargo. Çekim gücü çok güzel. Umarım ilerleyen zamanlarda gücü düşmez,1
Hızlı deyil....,0
Bu ürünü farklı bi siteden almıştım. Kesinlikle tavsiye etmem. Çok kalitesiz bi ürün. Plastiği sıcaktan eriyor. Izgarasının kulpu kırıldı✍🏾. Düğmesi bozuldu. Kısaca çöp oldu,0
açma kapama tuşu kötü su koyulacak yer çok dar tutacak bükülmediğinden su koymak zor ş süs için yapılmış kullanısli degil,0
Buharı çok iyi, kırışık azaltması çok etkili. Tavsiye ediyorum. Pişman etmeyen bir ürün.,1
Ürünü aldım ve kullanıyorum çok ses yapıyor birçok özellik yazmışlar süslemişler ama bu parayı hak etmiyor almayın tavsiye etmiyor salonun bir köşesinde süs niyetine durucak.,0
1 yönleri: mutfakta bir kenarda el altında olması hayatımı kolaylaştırdı..ince halımı havaya kaldıracak kadar güçlü. öncesinde de anneme hediye almıştım o da memnun kaldı. haznesi doldukça boşaltıyorum. hiçbir sorun yaşamadım.,1
En son ayarda çalıştırmama rağmen yağ yeterince ısınmıyor ve patates yağ çekiyor.ayrıca ürün faturası da yok.,0
Klavye çalışıyor. Fakat mouse bozuk çıktı. Ne yaptıysam çalışmıyor. Ayrıca hediye mouse pad kat kat kırışmış. İşlevselliğini kaybetmiş. Ayrıca mouse pad hiç göndermeseniz daha iyiymiş. Hayatımda bu kadar dandik birşey görmedim. Ciddi anlamda parasını haketmiyor. Sırf klavye lazım diye iade etmedim. Ama kesinlikle ne ürünü ne de bu mağazayı önermiyorum. Hayal kırıklığı...,0
FIRINDA TURBO FAN YOK. BUNA DİKKAT EDEREK ALIN!,2
